RED;Chapter;Article;Part;ShortN;LIMP;IMPMAX;IMPMIN;DISBATMAX;DISBATMIN;RESTOLMAX;RESTOLMIN;ARMAX;ARMIN;LIMMAX;LIMMIN;CORWMAX;CORWMIN;CIVMAX;CIVMIN;DEPRMAX;DEPRMIN;FINEMAX;FINEMIN;CONF;DEPRDOP;DEPRDOPMAX;DEPRDOPMIN;FINEDOP;FINEDOPMAX;FINEDOPMIN;GRADEMAN;GRADEAUTO
2021;II;1440;1;art. 144 p. 1;;;;;;2;1;;;;;2;0,5;;;3;2;;;;;;;1;50;30;1;
2021;II;1440;2;art. 144 p. 2;;3;1;;;5;1;;;;;;;;;;;;;;1;3;1;;;;2;
2021;II;1440;3;art. 144 p. 3;;5;1;;;;;;;;;;;;;;;;;;2;3;1;;;;2;
2021;II;1450;1;art. 145 p. 1;;;;;;;;;;;;2;0,5;240;60;3;2;4000;1000;;;;;;;;2;
2021;III;1460;1;art. 146 p. 1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;
2021;III;1460;2;art. 146 p. 2;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2021;III;1460;3;art. 146 p. 3;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;III;1461;1;art. 146-1 p. 1;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;
2021;III;1461;2;art. 146-1 p. 2;;7;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;III;1470;1;art. 147 p. 1;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;III;1470;2;art. 147 p. 2;;15;7;;;;;;;;;;;;;;;;;;;;;;;;4;
2021;III;1480;1;art. 148 p. 1;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2021;III;1490;1;art. 149 p. 1;;8;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;III;1490;2;art. 149 p. 2;;12;5;;;;;;;;;;;;;;;;;1;;;;;;;4;
2021;III;1490;3;art. 149 p. 3;;15;8;;;;;;;;;;;;;;;;;1;;;;;;;4;
2021;III;1500;1;art. 150 p. 1;;;;;;3;1;6;1;;;;;;;;;;;;2;3;1;;;;1;
2021;III;1500;2;art. 150 p. 2;;5;2;;;;;;;;;;;;;;;;;;2;3;1;;;;2;
2021;III;1500;3;art. 150 p. 3;;10;5;;;;;;;;;;;;;;;;;;2;3;1;;;;3;
2021;III;1501;1;art. 150-1 p. 1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;
2021;III;1501;2;art. 150-1 p. 2;;8;3;;;5;1;;;;;;;;;;;;;;;;;;;;3;
2021;III;1501;3;art. 150-1 p. 3;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;III;1510;1;art. 151 p. 1;;2;1;;;2;1;6;3;;;;;;;;;;;;2;3;1;;;;2;
2021;III;1510;2;art. 151 p. 2;;5;2;;;;;;;;;;;;;;;;;;2;3;1;;;;2;
2021;III;1512;1;art. 151-2 p. 1;;3;1;;;3;1;6;1;;;;;;;;;;;;;;;;;;2;
2021;III;1512;2;art. 151-2 p. 2;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2021;IV;1520;1;art. 152 p. 1;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;
2021;IV;1520;2;art. 152 p. 2;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;IV;1520;3;art. 152 p. 3;;12;7;;;;;;;;;;;;;;;;;;;;;;;;4;
2021;IV;1520;4;art. 152 p. 4;;15;10;;;;;;;;;;;;;;;;;;;;;;;;4;
2021;IV;1520;5;art. 152 p. 5;;15;10;;;;;;;;;;;;;;;;;;;;;;;;4;
2021;IV;1520;6;art. 152 p. 6;1;15;15;;;;;;;;;;;;;;;;;;;;;;;;4;
2021;IV;1530;1;art. 153 p. 1;;5;1;;;;;;;;;;;;;;;;;;;;;;;;2;
2021;IV;1530;2;art. 153 p. 2;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;IV;1530;3;art. 153 p. 3;;7;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;IV;1530;4;art. 153 p. 4;;10;5;;;;;;;;;;;;;;;;;;;;;;;;3;
2021;IV;1530;5;art. 153 p. 5;;15;10;;;;;;;;;;;;;;;;;;;;;;;;4;
2021;IV;1530;6;art. 153 p.6;1;15;15;;;;;;;;;;;;;;;;;;;;;;;;4;
2021;IV;1540;1;art. 154 p. 1;;;;;;;;6;1;;;;;;;;;50;30;;;;;;;;1;
2021;IV;1540;2;art. 154 p. 2;;;;;;2;1;;;;;;;;;;;1000;30;;;;;;;;1;
2021;IV;1540;3;art. 154 p. 3;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;
2021;IV;1550;1;art. 155 p. 1;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2021;IV;1550;2;art. 155 p. 2;;8;5;;;;;;;;;;;;;;;;;;1;3;1;;;;3;
2021;IV;1560;1;art. 156 p. 1;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;
2021;IV;1560;2;art. 156 p. 2;;8;5;;;;;;;;;;;;;;;;;;1;3;1;;;;3;
2021;IV;1561;1;art. 156-1 p. 1;;3;1;;;3;1;;;;;;;;;;;;;;2;3;1;;;;2;
2021;IV;1561;2;art. 156-1 p. 2;;5;2;;;;;;;;;;;;;;;;;;2;3;1;;;;2;
2021;IV;1561;3;art. 156-1 p. 3;;6;3;;;;;;;;;;;;;;;;;;2;3;1;;;;3;
2021;V;1570;1;art. 157 p. 1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;
2021;V;1570;2;art. 157 p. 2;;5;2;;;5;2;;;;;;;;;;;;;;;;;;;;2;
2021;V;1570;3;art. 157 p. 3;;7;3;;;;;;;;;;;;;;;;;;2;5;5;;;;3;
2021;V;1570;4;art. 157 p. 4;;10;5;;;;;;;;;;;;;;;;;;2;5;5;;;;3;
2021;V;1570;5;art. 157 p. 5;;3;1;;;3;1;;;;;;;;;;;;;;2;5;5;;;;2;
2021;V;1580;1;art. 158 p. 1;;4;2;;;;;;;;;;;;;;;;;;2;5;5;;;;2;
2021;V;1580;2;art. 158 p. 2;;10;7;;;;;;;;;;;;;;;;;;2;5;5;;;;3;
2021;V;1581;1;art. 158-1 p. 1;;2;1;;;3;1;;;;;2;0,5;;;;;300;100;;;;;;;;2;
2021;V;1581;2;art. 158-1 p. 2;;2;1;;;3;1;;;;;2;0,5;;;;;400;200;;;;;;;;2;
2021;V;1581;3;art. 158-1 p. 3;;7;5;;;;;;;;;;;;;;;;;;2;5;5;;;;3;
2021;V;1582;1;art. 158-2 p. 1;;4;2;;;5;3;;;;;;;;;;;;;;;;;;;;2;
2021;V;1582;2;art. 158-2 p. 2;;5;3;;;;;;;;;;;;;;;;;;2;5;5;;;;2;
2021;V;1583;1;art. 158-3 p.1;;6;2;;;;;;;;;;;;;;;;;;2;5;5;;;;3;
2021;V;1583;2;art. 158-3 p.2;;7;3;;;;;;;;;;;;;;;;;;2;5;5;;;;3;
2021;V;1583;3;art. 158-3 p.3;;7;5;;;;;;;;;;;;;;;;;;2;5;5;;;;3;
2021;V;1583;4;art. 158-3 p.4;;10;7;;;;;;;;;;;;;;;;;;2;5;5;;;;3;
2021;V;1590;1;art. 159 p. 1;;2;1;;;3;1;;;;;;;;;;;500;300;;;;;;;;2;
