RED;Chapter;Article;Part;ShortN;LIMP;IMPMAX;IMPMIN;DISBATMAX;DISBATMIN;RESTOLMAX;RESTOLMIN;ARMAX;ARMIN;LIMMAX;LIMMIN;CORWMAX;CORWMIN;CIVMAX;CIVMIN;DEPRMAX;DEPRMIN;FINEMAX;FINEMIN;CONF;DEPRDOP;DEPRDOPMAX;DEPRDOPMIN;FINEDOP;FINEDOPMAX;FINEDOPMIN;GRADEMAN;GRADEAUTO;RANK;INDEX
2019;IV;1560;1;Ст. 156 ч. 1;;5;1;;;5;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;IV;1560;2;Ст. 156 ч. 2;;8;5;;;;;;;;;;;;;;;;;;1;3;1;;;;3;;;
2019;V;1570;1;Ст. 157 ч. 1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;V;1570;2;Ст. 157 ч. 2;;5;2;;;5;2;;;;;;;;;;;;;;;;;;;;2;;;
2019;V;1570;3;Ст. 157 ч. 3;;7;3;;;;;;;;;;;;;;;;;;2;3;2;;;;3;;;
2019;V;1570;4;Ст. 157 ч. 4;;10;5;;;;;;;;;;;;;;;;;;2;3;2;;;;3;;;
2019;V;1580;1;Ст. 158 ч. 1;;4;2;;;;;;;;;;;;;;;;;;2;3;1;;;;2;;;
2019;V;1580;2;Ст. 158 ч. 2;;7;3;;;;;;;;;;;;;;;;;;2;3;2;;;;3;;;
2019;V;1580;3;Ст. 158 ч. 3;;7;5;;;;;;;;;;;;;;;;;;2;3;1;;;;3;;;
2019;V;1580;4;Ст. 158 ч. 4;;10;7;;;;;;;;;;;;;;;;;;2;3;2;;;;3;;;
2019;V;1581;1;Ст. 158-1 ч. 1;;;;;;3;1;;;;;2;0,5;;;;;300;100;;;;;;;;1;;;
2019;V;1581;2;Ст. 158-1 ч. 2;;7;5;;;;;;;;;;;;;;;;;;2;3;2;;;;3;;;
2019;V;1582;1;Ст. 158-2 ч. 1;;4;2;;;5;3;;;;;;;;;;;;;;;;;;;;2;;;
2019;V;1590;1;Ст. 159 ч. 1;;;;;;3;1;;;;;2;0,5;;;;;300;100;;;;;;;;1;;;
2019;V;1590;2;Ст. 159 ч. 2;;3;1;;;3;1;;;;;;;;;;;500;300;;2;3;1;;;;2;;;
2019;V;1591;1;Ст. 159-1 ч. 1;;;;;;2;1;;;;;2;0,5;;;;;300;100;;2;3;1;;;;1;;;
2019;V;1591;2;Ст. 159-1 ч. 2;;;;;;2;1;;;;;2;0,5;;;;;300;100;;2;3;1;;;;1;;;
2019;V;1591;3;Ст. 159-1 ч. 3;;;;;;;;;;;;2;0,5;;;;;500;300;;2;3;1;;;;1;;;
2019;V;1591;4;Ст. 159-1 ч. 4;;3;1;;;3;1;;;;;;;;;;;;;;2;3;1;;;;2;;;
2019;V;1600;1;Ст. 160 ч. 1;;;;;;2;1;;;;;2;0,5;;;;;300;100;;;;;;;;1;;;
2019;V;1600;2;Ст. 160 ч. 2;;3;1;;;3;1;;;;;;;;;;;;;;2;3;1;;;;2;;;
2019;V;1600;3;Ст. 160 ч. 3;;;;;;4;2;;;;;;;;;;;;;;2;3;1;;;;1;;;
2019;V;1600;4;Ст. 160 ч. 4;;7;5;;;;;;;;;;;;;;;;;;2;3;1;;;;3;;;
2019;V;1610;1;Ст. 161 ч. 1;;;;;;5;1;;;;;;;;;;;500;200;;2;3;1;;;;1;;;
2019;V;1610;2;Ст. 161 ч. 2;;5;2;;;;;;;;;;;;;;;1000;500;;2;3;1;;;;2;;;
2019;V;1610;3;Ст. 161 ч. 3;;8;5;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;V;1620;1;Ст. 162 ч. 1;;;;;;3;1;;;;;2;0,5;;;;;100;50;;;;;;;;1;;;
2019;V;1620;2;Ст. 162 ч. 2;;5;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;V;1630;1;Ст. 163 ч. 1;;;;;;3;1;;;;;2;0,5;;;;;100;50;;;;;;;;1;;;
2019;V;1630;2;Ст. 163 ч. 2;;7;3;;;;;;;;;;;;;;;;;;;;;;;;3;;;
2019;V;1640;1;Ст. 164 ч. 1;;;;;;2;1;3;1;;;;;120;80;;;;;;;;;;;;1;;;
2019;IV;1640;2;Ст. 164 ч. 2;;;;;;3;2;6;3;;;;;240;120;;;;;;;;;;;;1;;;
2019;V;1650;1;Ст. 165 ч. 1;;;;;;2;1;;;;;1;0,5;120;80;;;200;100;;;;;;;;1;;;
2019;V;1650;2;Ст. 165 ч. 2;;;;;;;;;;;;3;0,5;240;120;;;;;;;;;;;;1;;;
2019;V;1660;1;Ст. 166 ч. 1;;5;2;;;5;2;;;;;;;;;;;;;;;;;;;;2;;;
2019;V;1670;1;Ст. 167 ч. 1;;3;1;;;3;1;;;;;;;;;;;300;100;;;;;;;;2;;;
2019;V;1680;1;Ст. 168 ч. 1;;;;;;;;;;;;2;0,5;240;60;;;50;30;;;;;;;;1;;;
2019;V;1680;2;Ст. 168 ч. 2;;3;1;;;3;1;;;;;;;;;;;200;30;;1;3;1;;;;2;;;
2019;V;1690;1;Ст. 169 ч. 1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;V;1690;2;Ст. 169 ч. 2;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;V;1700;1;Ст. 170 ч. 1;;3;1;;;;;;;;;2;0,5;;;;;;;;2;3;1;;;;2;;;
2019;V;1710;1;Ст. 171 ч. 1;;;;;;3;1;6;1;;;;;;;;;50;30;;;;;;;;1;;;
2019;V;1710;2;Ст. 171 ч. 2;;;;;;4;1;6;1;;;;;;;;;200;30;;;;;;;;1;;;
2019;V;1710;3;Ст. 171 ч. 3;;;;;;5;1;;;;;;;;;;;500;200;;1;3;1;;;;1;;;
2019;V;1720;1;Ст. 172 ч. 1;;;;;;;;;;;;2;0,5;;;3;2;3000;2000;;;;;;;;1;;;
2019;V;1720;2;Ст. 172 ч. 2;;;;;;;;6;1;;;2;0,5;;;5;2;5000;3000;;;;;;;;2;;;
2019;V;1730;1;Ст. 173 ч. 1;;;;;;2;1;6;1;;;;;;;5;2;50;30;;;;;;;;1;;;
2019;V;1730;2;Ст. 173 ч. 2;;;;;;3;1;;;;;;;;;;;100;50;;;;;;;;1;;;
2019;V;1740;1;Ст. 174 ч. 1;;;;;;3;1;6;1;;;;;240;120;;;50;30;;;;;;;;1;;;
2019;V;1750;1;Ст. 175 ч. 1;;2;1;;;;;;;;;2;0,5;;;;;1000;500;;2;3;1;;;;1;;;
2019;V;1750;2;Ст. 175 ч. 2;;5;1;;;3;1;;;;;;;;;;;1500;1000;;2;3;1;;;;2;;;
2019;V;1760;1;Ст. 176 ч. 1;;2;1;;;;;;;;;2;0,5;;;;;1000;200;;;;;;;;1;;;
2019;V;1760;2;Ст. 176 ч. 2;;5;1;;;;;;;;;2;0,5;;;;;2000;1000;;;;;;;;2;;;
2019;V;1760;3;Ст. 176 ч. 3;;6;3;;;;;;;;;;;;;;;3000;2000;;1;3;1;;;;3;;;
2019;V;1770;1;Ст. 177 ч. 1;;2;1;;;;;;;;;2;0,5;;;;;1000;200;;;;;;;;1;;;
2019;V;1770;2;Ст. 177 ч. 2;;5;2;;;;;;;;;2;0,5;;;;;2000;1000;;;;;;;;2;;;
2019;V;1770;3;Ст. 177 ч. 3;;6;3;;;;;;;;;;;;;;;3000;2000;;1;3;1;;;;3;;;
2019;V;1780;1;Ст. 178 ч. 1;;3;1;;;3;1;6;1;;;;;240;60;;;300;30;;;;;;;;2;;;
2019;V;1790;1;Ст. 179 ч. 1;;3;1;;;3;1;6;1;;;;;240;60;;;200;30;;;;;;;;2;;;
2019;V;1800;1;Ст. 180 ч. 1;;;;;;2;1;6;1;;;;;240;120;;;50;30;;;;;;;;1;;;
2019;V;1800;2;Ст. 180 ч. 2;;;;;;;;6;1;;;;;;;;;50;30;;;;;;;;1;;;
2019;V;1810;1;Ст. 181 ч. 1;;3;1;;;3;1;;;;;;;;;;;;;;;;;;;;2;;;
2019;V;1810;2;Ст. 181 ч. 2;;5;3;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2019;V;1820;1;Ст. 182 ч. 1;;;;;;3;1;6;1;;;2;0,5;;;;;1000;500;;;;;;;;1;;;
2019;V;1820;2;Ст. 182 ч. 2;;5;3;;;5;3;6;3;;;;;;;;;;;;;;;;;;2;;;
2019;V;1830;1;Ст. 183 ч. 1;;;;;;;;;;;;;;;;;;100;30;;2;3;1;;;;1;;;
2019;V;1830;2;Ст. 183 ч. 2;;3;1;;;3;1;;;;;;;;;;;1000;30;;2;3;1;;;;2;;;
2019;V;1840;1;Ст. 184 ч. 1;;;;;;;;6;1;;;;;;;;;100;30;;;;;;;;1;;;
